nama_matkul,KD_matkul,token_matkul,nama_file
Agama islam,KU000206,uZh7Cd5vbvHtuEhFLid6g,3148e097fc3ffcb06700886234da266f
Akuntansi 1,KK045230,v6YI7wuUG3wb7Q61HgBcg,92c4547543a4f5b3390a90ec3888da1e
Akuntansi 2,KK045237,5MNby6lSCqu0JqCNtI7kJw,86546b4ec9ea9015f3d4a24db74ebabd
Akuntansi 3,MI017206,EdcZmTK4Kt7c91cSgoSnDw,3e7551d75ad6eab02d851a0f37248cb2
Algoritma & Pemrograman 1,KD045412,jJTmOpKBXnqCNXwgEiLjA,2e80ca0d3c832c79a5a620daaf5ad7aa
Algoritma & Pemrograman 2,KD045214,LyHdV9huTiqLJgP4LN0o6Q,b419ab9b6885709c672fccfb862d8406
Algoritma & Pemrograman 3,KD045211,hU9D6yUKyd5fMMH7IAExCA,a48b3dd90da22f3fc043ec24d209c998
Aljabar Linier,KD013213,e1aje1JiJPoCTr8anKrbCA,c47ddbf656620546ee190f5b20af26e4
Analisis & Perancangan Sistem,KK045321,5VQAV2rrqmIhVW68ARiDhg,cf7d862c3fbf8ed00e2d49b4f6ab3fea
Analisis Sistem Informasi,KK013425,KfUymkA5hrr8qFjlkg79Ug,19d4602f37a51f3ecb3abc49a308002c
Arsitektur Komputer,KD045301,hxm4FJt0gRILeHwBoaCIQ,31091068bc72016561f0c0c80999376e
Arsitektur Komputer,KK014412,N3nhur7vexb8mNepwM2g,eb68b1afcfcacb82823039a96f790c91
Auditing (Pemeriksaan Akuntansi II),KD024318,TmyLIISvt7sjhseDDCiUag,894b61d3fbd3be2d432da700c98636bc
Bahan Bangunan,KD031218,wZewV52lfGQMygOnLnmRJg,7b4347f95dc0a037a19ac7f0f9c93fa1
Bahasa Indonesia 1,KD051101,XDeeuP2hGMSlhN8T6gUxlQ,aea73bb148482dabda6121ce801070e4
Bahasa Inggris 1,KD051201,QZflwT0ef0DBlHv1tuGKTw,2ff9e5fb5aaa263d27509d4037413e5e
Bahasa Inggris 2,KD021216,2zjkHTfOCXHjlUv5ARp71A,b7871db5196f62de3dc20df96f165b31
Bahasa Rakitan,KK045223,q4ycTCDCdm9hnuNHbuRPw,bde6e463baf67d40793315f717c91a70
Berkas & Akses,KK013210,1t3n3l32UzyE4cfEk3xvNg,11996bf0e5c1f97dfa0de653ef7a8faa
Dasar Akuntansi 1,KK045230,m2Q9CFZgxZjE3CIVoBzFgw,92c4547543a4f5b3390a90ec3888da1e
Dasar Akuntansi 2,KK045237,o3fv5GXLo51stXbJJX7SmA,86546b4ec9ea9015f3d4a24db74ebabd
Dasar Teknik Tenaga Elektrik,KD041342,f1jH66n28VYyJXG1zGkacw,97af2d5656d4afeff7c4dc15a7886dbd
Ekonomi Koperasi,KD021311,ndmRIEADjlxROamErqKNUQ,80dfc1d2cced136923326b10c5d1b0b1
Ekonomika 2,KD023304,4INopB70UPxjcRkzZrMMKQ,33f9e668e9bfc4f781e3fc6f8affa70f
Elektronika Dasar,KD014219,j3YIwHJgCvuhkBhVlVUDw,a1dc0f3bfe5169cc649d597bce9ff31b
Elektronika Dasar,TK015201,zFXRDJTpsFBVxWKbHX7S4w,0ee60f4eeccf462e763c0677c6ed17c0
Fisika,DK014410,jS4ezY398QaQDI2W4Cjz9g,6e394dc0c9d8e9adb1b0c6554943264d
Fisika & Kimia 2,KD013210,GooEFBZQGpgKTaD2SJ9g,83538974117315a622b9c09c4b7f896d
Fisika Bangunan 1,KD032209,G3tlXEe0XA243D3CcaKbg,ab13f5451540555f5fee25230f9b1274
Fisika Bangunan 2,KD032210,hLmFtXUG912djjAFOCcww,49a863df50e2065a98478d707132c8c9
Fisika Dasar 1,KD042201,f0TZaVsvqZEDlX1yolaA,1b6270a45fa176d931a0fab496914124
Fisika Dasar 2,KD042202,HrSlks7QGhMgvqIFebWbsg,a313c79a0b4b90d1c124f3a0d103b3f9
Fisika Dasar 3,KD042203,aDiNhPOU3qfzj1qxbsKIBQ,8be5aae7ed756927b16e765403974f05
Fisika Listrik Magnet,KD013210,N0waaeFd91JC4udr63inw,83538974117315a622b9c09c4b7f896d
Fisika Mekanika,KD013203,uZEn2Zgnsutt5jivcmw,54c1e47cc582daf9f89aa9e29218b629
Fisika Mekanika,KK013203,GfqJ5XynPpnHq6AggYSgQ,3c54c2bf070316c243e66412678eedf8
Grammar Lanjutan,KK061216,ipUVGpahmLG00uIJldi4w,7418d63d1c3d374abf94b2377016e876
Ilmu Alamiah Dasar,KU000205,qgHpJHRdBWGWfTHmdrUkg,0b8f8d3f3fdb7405ab5b6a0529cf192d
Ilmu Budaya Dasar,KU000204,YjFgvgqPah5lPzIHh7kg,945c1740977f856dcd9a0fb591cad156
